,ace-events-production-20160819-142035.ng.bluemix.net/socket.io/;GET_x,api.xforce.ibmcloud.com/taxii;POST_x,ace-appdetails-test-20160819-141650.ng.bluemix.net/apps/api/model;GET_x,ace-dashboard-test-20160819-141650.ng.bluemix.net/dashboard/api/cf-apps-info;GET_x,api.xforce.ibmcloud.com/socket.io/;GET_x,ace-events-test-20160819-141650.ng.bluemix.net/events/cfServices;GET_x,api.ng.bluemix.net/v2/app;PUT_x,api.xforce.ibmcloud.com/casefiles/shared;GET_x,ace-abstraction-test-20160819-141650.ng.bluemix.net/model/v1/dashboard;GET_x,ace-appdetails-test-20160819-141650.ng.bluemix.net/socket.io/;GET_x,ace-dashboard-test-20160819-141650.ng.bluemix.net/dashboard/api/services-info;GET_x,ace-events-production-20160816-120854.ng.bluemix.net/socket.io/;GET_x,ace-events-test-20160819-141650.ng.bluemix.net/sessionp;GET_x,ace-dashboard-test-20160819-141650.ng.bluemix.net/dashboard/api/model;GET_x,api.xforce.ibmcloud.com/notifications;OPTIONS_x,new-console.ng.bluemix.net/dashboard/api/model;GET_x,api.xforce.ibmcloud.com/casefiles/shared;OPTIONS_x,new-console.ng.bluemix.net/dashboard/api/action;GET_x,new-console.ng.bluemix.net/apps/api/model;GET_x,api.xforce.ibmcloud.com/businessmetrics/trendingitems/;OPTIONS_x,api.xforce.ibmcloud.com/news/;OPTIONS_x,api.xforce.ibmcloud.com/alertcon;OPTIONS_x,new-console.ng.bluemix.net/dashboard/api/cf-apps-info;GET_x,new-console.ng.bluemix.net/events/;GET_x,new-console.ng.bluemix.net/dashboard/api/services-info;GET_x,ace-dashboard-test-20160819-141650.ng.bluemix.net/dashboard/api/action;GET_x,natural-language-classifier-toolkit.ng.bluemix.net/socket.io/;GET_x,ace-events-test-20160819-141650.ng.bluemix.net/events/;GET_x,ace-dashboard-production-20160819-142035.ng.bluemix.net/socket.io/;GET_x,ace-events-test-20160819-141650.ng.bluemix.net/events/cfServices/tags;GET_x,ace-events-test-20160819-141650.ng.bluemix.net/events/cfApps;GET_x,ibmwatson-rr-wsapi-prod.ng.bluemix.net/primus/;GET_x,ace-events-test-20160819-141650.ng.bluemix.net/socket.io/;GET_x
ace-events-production-20160819-142035.ng.bluemix.net/socket.io/;GET_y,0.0,0.0,0.0,0.0,0.0,1.486206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0
api.xforce.ibmcloud.com/taxii;POST_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ace-appdetails-test-20160819-141650.ng.bluemix.net/apps/api/model;GET_y,1.5586206896551724,0.0,0.0,0.0,1.9615384615384617,2.5323803910010807,0.0,0.0,0.0,0.0,0.0,0.0,1.4977011494252874,2.3848806366047746,0.0,1.6574712643678162,0.0,0.8717948717948718,1.4241379310344828,0.0,0.0,0.0,0.0,2.2683269476372923,0.0,1.4287749287749287,0.0,1.6037037037037036,0.0,0.8408488063660478,2.5164750957854407,0.0,0.0
ace-dashboard-test-20160819-141650.ng.bluemix.net/dashboard/api/cf-apps-info;GET_y,0.0,0.0,2.2529718046959424,0.0,0.5172413793103448,0.8846153846153846,0.0,0.0,0.0,0.0,1.4056941614662755,0.0,3.5396635015825417,0.0,0.0,0.0,0.0,1.2575250836120402,1.3219373219373218,0.0,0.0,0.0,1.2782608695652176,0.0,1.5853026478213885,1.5083612040133778,2.0,0.0,0.0,0.7391304347826086,0.782608695652174,0.0,1.0
api.xforce.ibmcloud.com/socket.io/;GET_y,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,1.962962962962963,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.5666666666666667,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.9655172413793104,1.0
ace-events-test-20160819-141650.ng.bluemix.net/events/cfServices;GET_y,0.0,0.0,2.095137046861185,0.0,0.7777777777777778,0.0,0.0,0.0,1.9935698817258036,0.0,0.0,0.0,2.492115480721178,1.487321723753508,0.0,0.9054318994348981,0.0,1.9536987916298263,0.34615384615384615,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,1.9899007761076728,3.0,1.3801945181255526,1.9666666666666668,1.0721485411140586,1.9936800830354056,0.0,0.0
api.ng.bluemix.net/v2/app;PUT_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
api.xforce.ibmcloud.com/casefiles/shared;GET_y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ace-abstraction-test-20160819-141650.ng.bluemix.net/model/v1/dashboard;GET_y,1.0,0.0,2.362962962962963,0.0,0.0,2.078347578347578,0.0,0.0,0.0,2.9130434782608696,0.0,0.0,3.1647714604236343,0.8695652173913043,0.0,1.705809488418184,0.0,1.3191626409017714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6127214170692432,1.0,1.239822396494061,1.9310344827586206,2.196952805648458,2.1640043226250123,0.0,1.9666666666666668
ace-appdetails-test-20160819-141650.ng.bluemix.net/socket.io/;GET_y,0.0,0.0,3.3816425120772946,0.0,1.0,0.962962962962963,0.0,0.0,1.5668276972624797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.347159753456605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8888888888888888,0.0,1.7407407407407407,1.0,0.0,1.9666666666666668
